NID,PID
1,8
2,9
3,10
5,12
6,13
7,14
8,15
9,16
10,17
11,18
12,19
13,20
14,21
15,22
16,23
17,24
18,25
19,26
20,27
21,28
22,29
23,30
24,31
25,32
26,33
27,34
28,35
29,36
30,37
31,38
32,39
33,40
34,41
35,42
36,43
37,44
38,45
39,46
40,47
41,48
42,49
43,50
44,51
45,52
46,53
47,54
48,55
49,56
50,57
51,58
52,59
53,60
54,61
55,62
56,63
57,64
58,65
59,66
60,67
61,68
62,69
63,70
64,71
65,72
66,73
67,74
68,75
69,76
70,77
71,78
72,79
73,80
74,81
75,82
151,168
152,169
153,170
154,171
155,172
156,173
157,174
158,175
159,176
160,177
161,178
162,179
163,180
164,181
165,182
166,183
167,184
168,185
169,186
170,187
171,188
172,189
173,190
174,191
175,192
176,193
177,194
178,195
179,196
180,197
181,198
182,199
183,200
184,201
185,202
186,203
187,204
188,205
189,206
190,207
191,208
192,209
193,210
194,211
195,212
196,213
197,214
198,215
199,216
200,217
201,218
202,219
203,220
204,221
205,222
206,223
207,224
208,225
209,226
210,227
211,228
212,229
213,230
214,231
215,232
216,233
217,234
218,235
219,236
220,237
221,238
222,239
223,240
224,241
225,242
